Receipt No,Admission No,Student Name,Class,Term,Year,Amount (KES),Payment Method,Reference No,Paid By,Payment Date,Recorded By
BP-2026-2516,ADM-1463,Joyce Owino,Grade 7 C,Term 1,2026,6400,Bank Transfer,RTN-55546,Sophia Owino,2026-02-09,Andreah Smithh
BP-2026-2517,ADM-1463,Joyce Owino,Grade 7 C,Term 1,2026,8800,M-PESA,QWH-94696,Sophia Owino,2026-03-01,Rebecca Wanjala
BP-2026-2518,ADM-1463,Joyce Owino,Grade 7 C,Term 2,2026,6200,M-PESA,QWH-80623,Sophia Owino,2026-05-29,Rebecca Wanjala
BP-2026-2519,ADM-1463,Joyce Owino,Grade 7 C,Term 2,2026,8800,M-PESA,QWH-86152,Sophia Owino,2026-06-02,Monica Wanjiru
BP-2026-2520,ADM-1463,Joyce Owino,Grade 7 C,Term 3,2026,2000,Cheque,CHQ-40081,Sophia Owino,2026-09-10,Andreah Smithh
BP-2026-2521,ADM-1463,Joyce Owino,Grade 7 C,Term 3,2026,2300,M-PESA,QWH-96342,Sophia Owino,2026-10-04,Monica Wanjiru
BP-2026-2522,ADM-1464,Edna Auma,Grade 7 C,Term 1,2026,9000,M-PESA,QWH-20800,Stephen Auma,2026-01-07,Andreah Smithh
BP-2026-2523,ADM-1464,Edna Auma,Grade 7 C,Term 1,2026,6000,Cheque,CHQ-72758,Stephen Auma,2026-01-31,Andreah Smithh
BP-2026-2524,ADM-1464,Edna Auma,Grade 7 C,Term 1,2026,4500,Cash,CSH-61360,Stephen Auma,2026-02-09,Rebecca Wanjala
BP-2026-2525,ADM-1464,Edna Auma,Grade 7 C,Term 1,2026,11800,Cash,CSH-44448,Stephen Auma,2026-03-07,Monica Wanjiru
BP-2026-2526,ADM-1464,Edna Auma,Grade 7 C,Term 2,2026,21000,Bank Transfer,RTN-85821,Stephen Auma,2026-05-24,Monica Wanjiru
BP-2026-2527,ADM-1464,Edna Auma,Grade 7 C,Term 3,2026,3900,Bank Transfer,RTN-30587,Stephen Auma,2026-09-21,Rebecca Wanjala
BP-2026-2528,ADM-1464,Edna Auma,Grade 7 C,Term 3,2026,3600,M-PESA,QWH-91396,Stephen Auma,2026-10-16,Andreah Smithh
BP-2026-2529,ADM-1465,Harrison Kinyua,Grade 7 C,Term 1,2026,16300,Bank Transfer,RTN-88553,Isaac Kinyua,2026-01-13,Andreah Smithh
BP-2026-2530,ADM-1465,Harrison Kinyua,Grade 7 C,Term 1,2026,13700,Cash,CSH-12072,Isaac Kinyua,2026-02-12,Rebecca Wanjala
BP-2026-2531,ADM-1465,Harrison Kinyua,Grade 7 C,Term 3,2026,9000,Bank Transfer,RTN-61007,Isaac Kinyua,2026-09-16,Andreah Smithh
BP-2026-2532,ADM-1466,Julius Kithinji,Grade 7 C,Term 1,2026,30000,Bank Transfer,RTN-15883,Timothy Kithinji,2026-01-29,Monica Wanjiru
BP-2026-2533,ADM-1466,Julius Kithinji,Grade 7 C,Term 2,2026,7700,Bank Transfer,RTN-73193,Timothy Kithinji,2026-05-14,Monica Wanjiru
BP-2026-2534,ADM-1466,Julius Kithinji,Grade 7 C,Term 2,2026,2900,M-PESA,QWH-32371,Timothy Kithinji,2026-06-09,Monica Wanjiru
BP-2026-2535,ADM-1466,Julius Kithinji,Grade 7 C,Term 2,2026,4400,M-PESA,QWH-84140,Timothy Kithinji,2026-06-09,Monica Wanjiru
BP-2026-2536,ADM-1467,Hillary Kariuki,Grade 7 C,Term 1,2026,11300,M-PESA,QWH-75323,Francis Kariuki,2026-01-22,Rebecca Wanjala
BP-2026-2537,ADM-1467,Hillary Kariuki,Grade 7 C,Term 1,2026,18700,Bank Transfer,RTN-58353,Francis Kariuki,2026-02-07,Monica Wanjiru
BP-2026-2538,ADM-1467,Hillary Kariuki,Grade 7 C,Term 2,2026,4500,M-PESA,QWH-81539,Francis Kariuki,2026-05-07,Andreah Smithh
BP-2026-2539,ADM-1467,Hillary Kariuki,Grade 7 C,Term 2,2026,4400,Cash,CSH-30099,Francis Kariuki,2026-06-14,Andreah Smithh
BP-2026-2540,ADM-1467,Hillary Kariuki,Grade 7 C,Term 3,2026,2200,M-PESA,QWH-32455,Francis Kariuki,2026-09-29,Rebecca Wanjala
BP-2026-2541,ADM-1467,Hillary Kariuki,Grade 7 C,Term 3,2026,800,Bank Transfer,RTN-89056,Francis Kariuki,2026-09-29,Andreah Smithh
BP-2026-2542,ADM-1467,Hillary Kariuki,Grade 7 C,Term 3,2026,1100,Cheque,CHQ-98753,Francis Kariuki,2026-10-09,Andreah Smithh
BP-2026-2543,ADM-1468,Lawrence Auma,Grade 7 C,Term 1,2026,16700,Cash,CSH-97046,Amos Auma,2026-01-14,Monica Wanjiru
BP-2026-2544,ADM-1468,Lawrence Auma,Grade 7 C,Term 1,2026,8200,Cheque,CHQ-98887,Amos Auma,2026-02-13,Rebecca Wanjala
BP-2026-2545,ADM-1468,Lawrence Auma,Grade 7 C,Term 1,2026,3900,M-PESA,QWH-61142,Amos Auma,2026-02-23,Andreah Smithh
BP-2026-2546,ADM-1468,Lawrence Auma,Grade 7 C,Term 1,2026,7200,M-PESA,QWH-44158,Amos Auma,2026-03-15,Monica Wanjiru
BP-2026-2547,ADM-1468,Lawrence Auma,Grade 7 C,Term 2,2026,21000,Cash,CSH-83859,Amos Auma,2026-06-02,Rebecca Wanjala
BP-2026-2548,ADM-1468,Lawrence Auma,Grade 7 C,Term 3,2026,6800,M-PESA,QWH-74984,Amos Auma,2026-09-25,Monica Wanjiru
BP-2026-2549,ADM-1469,William Kinyua,Grade 7 C,Term 1,2026,6000,Bank Transfer,RTN-27099,Maureen Kinyua,2026-01-30,Monica Wanjiru
BP-2026-2550,ADM-1469,William Kinyua,Grade 7 C,Term 1,2026,17700,M-PESA,QWH-88152,Maureen Kinyua,2026-02-08,Andreah Smithh
BP-2026-2551,ADM-1469,William Kinyua,Grade 7 C,Term 2,2026,5500,M-PESA,QWH-92345,Maureen Kinyua,2026-06-02,Andreah Smithh
BP-2026-2552,ADM-1469,William Kinyua,Grade 7 C,Term 2,2026,2400,Bank Transfer,RTN-77522,Maureen Kinyua,2026-06-18,Andreah Smithh
BP-2026-2553,ADM-1469,William Kinyua,Grade 7 C,Term 2,2026,7100,Cash,CSH-40356,Maureen Kinyua,2026-06-20,Monica Wanjiru
BP-2026-2554,ADM-1470,Gloria Tanui,Grade 7 C,Term 1,2026,14100,M-PESA,QWH-60144,Nancy Tanui,2026-01-20,Monica Wanjiru
BP-2026-2555,ADM-1470,Gloria Tanui,Grade 7 C,Term 1,2026,5200,Cheque,CHQ-87740,Nancy Tanui,2026-02-07,Monica Wanjiru
BP-2026-2556,ADM-1470,Gloria Tanui,Grade 7 C,Term 1,2026,10700,Cash,CSH-26947,Nancy Tanui,2026-02-05,Monica Wanjiru
BP-2026-2557,ADM-1470,Gloria Tanui,Grade 7 C,Term 2,2026,8100,Bank Transfer,RTN-92772,Nancy Tanui,2026-05-28,Andreah Smithh
BP-2026-2558,ADM-1470,Gloria Tanui,Grade 7 C,Term 2,2026,3500,Cheque,CHQ-49884,Nancy Tanui,2026-06-10,Rebecca Wanjala
BP-2026-2559,ADM-1470,Gloria Tanui,Grade 7 C,Term 2,2026,3400,M-PESA,QWH-55386,Nancy Tanui,2026-06-10,Monica Wanjiru
BP-2026-2560,ADM-1470,Gloria Tanui,Grade 7 C,Term 3,2026,2300,Cash,CSH-57935,Nancy Tanui,2026-09-17,Rebecca Wanjala
BP-2026-2561,ADM-1470,Gloria Tanui,Grade 7 C,Term 3,2026,6700,Cheque,CHQ-46654,Nancy Tanui,2026-09-28,Monica Wanjiru
BP-2026-2562,ADM-1471,Susan Kimutai,Grade 7 C,Term 1,2026,40000,M-PESA,QWH-21451,Julius Kimutai,2026-01-12,Rebecca Wanjala
BP-2026-2563,ADM-1471,Susan Kimutai,Grade 7 C,Term 3,2026,5800,Bank Transfer,RTN-29611,Julius Kimutai,2026-09-16,Monica Wanjiru
BP-2026-2564,ADM-1471,Susan Kimutai,Grade 7 C,Term 3,2026,13200,M-PESA,QWH-32812,Julius Kimutai,2026-10-04,Monica Wanjiru
BP-2026-2565,ADM-1472,Fridah Zawadi,Grade 7 C,Term 1,2026,34000,Cheque,CHQ-98721,Janet Zawadi,2026-01-29,Andreah Smithh
BP-2026-2566,ADM-1472,Fridah Zawadi,Grade 7 C,Term 2,2026,4400,Cheque,CHQ-60059,Janet Zawadi,2026-05-29,Andreah Smithh
BP-2026-2567,ADM-1472,Fridah Zawadi,Grade 7 C,Term 2,2026,1700,M-PESA,QWH-98656,Janet Zawadi,2026-05-28,Rebecca Wanjala
BP-2026-2568,ADM-1472,Fridah Zawadi,Grade 7 C,Term 2,2026,4900,M-PESA,QWH-98533,Janet Zawadi,2026-06-15,Andreah Smithh
BP-2026-2569,ADM-1473,Charity Simiyu,Grade 8 A,Term 1,2026,13200,M-PESA,QWH-66534,Kipchoge Simiyu,2026-02-03,Rebecca Wanjala
BP-2026-2570,ADM-1473,Charity Simiyu,Grade 8 A,Term 1,2026,7800,M-PESA,QWH-40185,Kipchoge Simiyu,2026-01-24,Monica Wanjiru
BP-2026-2571,ADM-1473,Charity Simiyu,Grade 8 A,Term 1,2026,9000,M-PESA,QWH-99688,Kipchoge Simiyu,2026-02-14,Andreah Smithh
BP-2026-2572,ADM-1473,Charity Simiyu,Grade 8 A,Term 2,2026,15000,Bank Transfer,RTN-81066,Kipchoge Simiyu,2026-05-20,Andreah Smithh
BP-2026-2573,ADM-1474,Brian Abdi,Grade 8 A,Term 1,2026,14100,Cash,CSH-22090,Martin Abdi,2026-01-23,Andreah Smithh
BP-2026-2574,ADM-1474,Brian Abdi,Grade 8 A,Term 1,2026,4100,Cash,CSH-89164,Martin Abdi,2026-01-31,Rebecca Wanjala
BP-2026-2575,ADM-1474,Brian Abdi,Grade 8 A,Term 1,2026,11800,Cheque,CHQ-91137,Martin Abdi,2026-02-13,Rebecca Wanjala
BP-2026-2576,ADM-1474,Brian Abdi,Grade 8 A,Term 2,2026,4800,Bank Transfer,RTN-29046,Martin Abdi,2026-05-09,Andreah Smithh
BP-2026-2577,ADM-1474,Brian Abdi,Grade 8 A,Term 2,2026,10200,Cash,CSH-70787,Martin Abdi,2026-06-04,Monica Wanjiru
BP-2026-2578,ADM-1474,Brian Abdi,Grade 8 A,Term 3,2026,9000,Cheque,CHQ-95692,Martin Abdi,2026-09-13,Monica Wanjiru
BP-2026-2579,ADM-1475,Amos Mwirigi,Grade 8 A,Term 1,2026,30000,M-PESA,QWH-37663,Karen Mwirigi,2026-01-25,Rebecca Wanjala
BP-2026-2580,ADM-1475,Amos Mwirigi,Grade 8 A,Term 2,2026,7100,M-PESA,QWH-15615,Karen Mwirigi,2026-05-30,Monica Wanjiru
BP-2026-2581,ADM-1475,Amos Mwirigi,Grade 8 A,Term 2,2026,2100,Cash,CSH-15419,Karen Mwirigi,2026-06-09,Andreah Smithh
BP-2026-2582,ADM-1475,Amos Mwirigi,Grade 8 A,Term 2,2026,5800,Cash,CSH-64517,Karen Mwirigi,2026-06-26,Monica Wanjiru
BP-2026-2583,ADM-1475,Amos Mwirigi,Grade 8 A,Term 3,2026,5500,M-PESA,QWH-32401,Karen Mwirigi,2026-10-01,Rebecca Wanjala
BP-2026-2584,ADM-1476,Samuel Owuor,Grade 8 A,Term 1,2026,30000,M-PESA,QWH-63305,Catherine Owuor,2026-01-16,Andreah Smithh
BP-2026-2585,ADM-1476,Samuel Owuor,Grade 8 A,Term 2,2026,6200,Bank Transfer,RTN-52375,Catherine Owuor,2026-05-22,Monica Wanjiru
BP-2026-2586,ADM-1476,Samuel Owuor,Grade 8 A,Term 2,2026,8800,Bank Transfer,RTN-89262,Catherine Owuor,2026-06-14,Monica Wanjiru
BP-2026-2587,ADM-1476,Samuel Owuor,Grade 8 A,Term 3,2026,3100,Bank Transfer,RTN-50049,Catherine Owuor,2026-09-22,Andreah Smithh
BP-2026-2588,ADM-1476,Samuel Owuor,Grade 8 A,Term 3,2026,2700,Cheque,CHQ-72943,Catherine Owuor,2026-10-07,Monica Wanjiru
BP-2026-2589,ADM-1476,Samuel Owuor,Grade 8 A,Term 3,2026,3200,Bank Transfer,RTN-12489,Catherine Owuor,2026-10-25,Andreah Smithh
BP-2026-2590,ADM-1477,Tabitha Muthoka,Grade 8 A,Term 1,2026,8700,M-PESA,QWH-90590,Wesley Muthoka,2026-01-16,Monica Wanjiru
BP-2026-2591,ADM-1477,Tabitha Muthoka,Grade 8 A,Term 1,2026,7200,M-PESA,QWH-14889,Wesley Muthoka,2026-02-08,Andreah Smithh
BP-2026-2592,ADM-1477,Tabitha Muthoka,Grade 8 A,Term 2,2026,5100,Cash,CSH-87923,Wesley Muthoka,2026-05-12,Monica Wanjiru
BP-2026-2593,ADM-1477,Tabitha Muthoka,Grade 8 A,Term 2,2026,9900,Bank Transfer,RTN-54725,Wesley Muthoka,2026-06-11,Rebecca Wanjala
BP-2026-2594,ADM-1477,Tabitha Muthoka,Grade 8 A,Term 3,2026,4000,Bank Transfer,RTN-64127,Wesley Muthoka,2026-09-25,Rebecca Wanjala
BP-2026-2595,ADM-1477,Tabitha Muthoka,Grade 8 A,Term 3,2026,5000,Bank Transfer,RTN-78540,Wesley Muthoka,2026-10-08,Monica Wanjiru
BP-2026-2596,ADM-1478,Beatrice Ruto,Grade 8 A,Term 1,2026,13800,M-PESA,QWH-71521,Wesley Ruto,2026-01-14,Andreah Smithh
BP-2026-2597,ADM-1478,Beatrice Ruto,Grade 8 A,Term 1,2026,8300,Cash,CSH-53454,Wesley Ruto,2026-02-04,Andreah Smithh
BP-2026-2598,ADM-1478,Beatrice Ruto,Grade 8 A,Term 1,2026,7900,M-PESA,QWH-69570,Wesley Ruto,2026-02-23,Rebecca Wanjala
BP-2026-2599,ADM-1478,Beatrice Ruto,Grade 8 A,Term 2,2026,6300,Cash,CSH-81233,Wesley Ruto,2026-05-31,Andreah Smithh
BP-2026-2600,ADM-1478,Beatrice Ruto,Grade 8 A,Term 2,2026,3500,Cash,CSH-18514,Wesley Ruto,2026-06-07,Andreah Smithh
BP-2026-2601,ADM-1478,Beatrice Ruto,Grade 8 A,Term 2,2026,5200,M-PESA,QWH-18416,Wesley Ruto,2026-06-16,Rebecca Wanjala
BP-2026-2602,ADM-1478,Beatrice Ruto,Grade 8 A,Term 3,2026,1700,Cash,CSH-79084,Wesley Ruto,2026-10-01,Monica Wanjiru
BP-2026-2603,ADM-1478,Beatrice Ruto,Grade 8 A,Term 3,2026,1900,Bank Transfer,RTN-70635,Wesley Ruto,2026-10-04,Monica Wanjiru
BP-2026-2604,ADM-1478,Beatrice Ruto,Grade 8 A,Term 3,2026,3200,Cash,CSH-39884,Wesley Ruto,2026-10-23,Rebecca Wanjala
BP-2026-2605,ADM-1479,Olivia Kosgei,Grade 8 A,Term 1,2026,13600,M-PESA,QWH-28883,Mark Kosgei,2026-01-11,Monica Wanjiru
BP-2026-2606,ADM-1479,Olivia Kosgei,Grade 8 A,Term 1,2026,16400,Cash,CSH-24343,Mark Kosgei,2026-02-11,Andreah Smithh
BP-2026-2607,ADM-1479,Olivia Kosgei,Grade 8 A,Term 2,2026,5500,Bank Transfer,RTN-38509,Mark Kosgei,2026-05-28,Rebecca Wanjala
BP-2026-2608,ADM-1479,Olivia Kosgei,Grade 8 A,Term 2,2026,9500,M-PESA,QWH-66477,Mark Kosgei,2026-06-13,Andreah Smithh
BP-2026-2609,ADM-1479,Olivia Kosgei,Grade 8 A,Term 3,2026,2100,Cheque,CHQ-30819,Mark Kosgei,2026-09-19,Monica Wanjiru
BP-2026-2610,ADM-1479,Olivia Kosgei,Grade 8 A,Term 3,2026,1300,M-PESA,QWH-13611,Mark Kosgei,2026-09-28,Andreah Smithh
BP-2026-2611,ADM-1479,Olivia Kosgei,Grade 8 A,Term 3,2026,2500,M-PESA,QWH-60537,Mark Kosgei,2026-10-17,Rebecca Wanjala
BP-2026-2612,ADM-1480,Florence Musalia,Grade 8 A,Term 1,2026,8100,M-PESA,QWH-78958,Luke Musalia,2026-01-25,Andreah Smithh
BP-2026-2613,ADM-1480,Florence Musalia,Grade 8 A,Term 1,2026,8100,M-PESA,QWH-98486,Luke Musalia,2026-02-01,Andreah Smithh
BP-2026-2614,ADM-1480,Florence Musalia,Grade 8 A,Term 2,2026,5000,M-PESA,QWH-33595,Luke Musalia,2026-05-07,Andreah Smithh
BP-2026-2615,ADM-1480,Florence Musalia,Grade 8 A,Term 2,2026,6400,M-PESA,QWH-99169,Luke Musalia,2026-05-22,Andreah Smithh
BP-2026-2616,ADM-1480,Florence Musalia,Grade 8 A,Term 3,2026,4300,Bank Transfer,RTN-52719,Luke Musalia,2026-09-19,Andreah Smithh
BP-2026-2617,ADM-1480,Florence Musalia,Grade 8 A,Term 3,2026,2100,Bank Transfer,RTN-94604,Luke Musalia,2026-10-14,Andreah Smithh
BP-2026-2618,ADM-1480,Florence Musalia,Grade 8 A,Term 3,2026,2600,Bank Transfer,RTN-79861,Luke Musalia,2026-10-18,Rebecca Wanjala
BP-2026-2619,ADM-1481,Veronica Kithinji,Grade 8 A,Term 1,2026,30000,M-PESA,QWH-87261,Kipchoge Kithinji,2026-01-25,Andreah Smithh
BP-2026-2620,ADM-1481,Veronica Kithinji,Grade 8 A,Term 2,2026,5000,Cheque,CHQ-84961,Kipchoge Kithinji,2026-05-29,Rebecca Wanjala
BP-2026-2621,ADM-1481,Veronica Kithinji,Grade 8 A,Term 2,2026,10000,Cash,CSH-11178,Kipchoge Kithinji,2026-06-01,Rebecca Wanjala
BP-2026-2622,ADM-1482,Mercy Kinyua,Grade 8 A,Term 1,2026,30000,M-PESA,QWH-91936,Edwin Kinyua,2026-01-14,Andreah Smithh
BP-2026-2623,ADM-1482,Mercy Kinyua,Grade 8 A,Term 2,2026,15000,Bank Transfer,RTN-84700,Edwin Kinyua,2026-05-16,Rebecca Wanjala
BP-2026-2624,ADM-1483,Sharon Mburu,Grade 8 A,Term 1,2026,9300,Cash,CSH-61758,Simon Mburu,2026-01-10,Rebecca Wanjala
BP-2026-2625,ADM-1483,Sharon Mburu,Grade 8 A,Term 1,2026,8800,Bank Transfer,RTN-78100,Simon Mburu,2026-01-28,Andreah Smithh
BP-2026-2626,ADM-1483,Sharon Mburu,Grade 8 A,Term 1,2026,11900,Cash,CSH-51766,Simon Mburu,2026-02-26,Monica Wanjiru
BP-2026-2627,ADM-1483,Sharon Mburu,Grade 8 A,Term 2,2026,4300,Cash,CSH-35979,Simon Mburu,2026-05-17,Monica Wanjiru
BP-2026-2628,ADM-1483,Sharon Mburu,Grade 8 A,Term 2,2026,4700,Cheque,CHQ-44712,Simon Mburu,2026-06-13,Andreah Smithh
BP-2026-2629,ADM-1483,Sharon Mburu,Grade 8 A,Term 2,2026,6000,Cash,CSH-50241,Simon Mburu,2026-06-13,Monica Wanjiru
BP-2026-2630,ADM-1484,Amos Bii,Grade 8 A,Term 1,2026,11400,M-PESA,QWH-75506,Samuel Bii,2026-01-27,Rebecca Wanjala
BP-2026-2631,ADM-1484,Amos Bii,Grade 8 A,Term 1,2026,7000,M-PESA,QWH-46562,Samuel Bii,2026-01-22,Monica Wanjiru
BP-2026-2632,ADM-1484,Amos Bii,Grade 8 A,Term 1,2026,11600,Bank Transfer,RTN-85241,Samuel Bii,2026-02-09,Andreah Smithh
BP-2026-2633,ADM-1484,Amos Bii,Grade 8 A,Term 2,2026,15000,Cheque,CHQ-17121,Samuel Bii,2026-05-15,Rebecca Wanjala
BP-2026-2634,ADM-1484,Amos Bii,Grade 8 A,Term 3,2026,6200,Cash,CSH-83917,Samuel Bii,2026-09-18,Andreah Smithh
BP-2026-2635,ADM-1485,Edna Sironka,Grade 8 A,Term 1,2026,16400,M-PESA,QWH-25943,Kipchoge Sironka,2026-01-30,Andreah Smithh
BP-2026-2636,ADM-1485,Edna Sironka,Grade 8 A,Term 1,2026,9200,Cheque,CHQ-98629,Kipchoge Sironka,2026-01-24,Monica Wanjiru
BP-2026-2637,ADM-1485,Edna Sironka,Grade 8 A,Term 1,2026,8400,Cash,CSH-64796,Kipchoge Sironka,2026-02-28,Rebecca Wanjala
BP-2026-2638,ADM-1485,Edna Sironka,Grade 8 A,Term 2,2026,7400,Cash,CSH-69429,Kipchoge Sironka,2026-05-27,Andreah Smithh
BP-2026-2639,ADM-1485,Edna Sironka,Grade 8 A,Term 2,2026,11600,Cash,CSH-96662,Kipchoge Sironka,2026-06-04,Rebecca Wanjala
BP-2026-2640,ADM-1486,Yvonne Mwende,Grade 8 A,Term 1,2026,30000,Bank Transfer,RTN-66856,Thomas Mwende,2026-01-24,Rebecca Wanjala
BP-2026-2641,ADM-1486,Yvonne Mwende,Grade 8 A,Term 2,2026,15000,M-PESA,QWH-43512,Thomas Mwende,2026-05-12,Andreah Smithh
BP-2026-2642,ADM-1487,Harrison Gatwiri,Grade 8 A,Term 1,2026,8900,M-PESA,QWH-47505,Hillary Gatwiri,2026-01-30,Monica Wanjiru
BP-2026-2643,ADM-1487,Harrison Gatwiri,Grade 8 A,Term 1,2026,21100,Bank Transfer,RTN-49836,Hillary Gatwiri,2026-01-27,Rebecca Wanjala
BP-2026-2644,ADM-1487,Harrison Gatwiri,Grade 8 A,Term 2,2026,4600,Cheque,CHQ-38315,Hillary Gatwiri,2026-06-01,Monica Wanjiru
BP-2026-2645,ADM-1487,Harrison Gatwiri,Grade 8 A,Term 2,2026,2800,M-PESA,QWH-64950,Hillary Gatwiri,2026-06-16,Rebecca Wanjala
BP-2026-2646,ADM-1487,Harrison Gatwiri,Grade 8 A,Term 2,2026,7600,M-PESA,QWH-31531,Hillary Gatwiri,2026-06-20,Monica Wanjiru
BP-2026-2647,ADM-1487,Harrison Gatwiri,Grade 8 A,Term 3,2026,9000,Bank Transfer,RTN-64331,Hillary Gatwiri,2026-09-25,Andreah Smithh
BP-2026-2648,ADM-1488,Nancy Kioko,Grade 8 A,Term 1,2026,15200,M-PESA,QWH-84863,Charity Kioko,2026-01-30,Monica Wanjiru
BP-2026-2649,ADM-1488,Nancy Kioko,Grade 8 A,Term 1,2026,7100,M-PESA,QWH-78075,Charity Kioko,2026-01-23,Monica Wanjiru
BP-2026-2650,ADM-1488,Nancy Kioko,Grade 8 A,Term 1,2026,7700,M-PESA,QWH-97403,Charity Kioko,2026-02-08,Monica Wanjiru
BP-2026-2651,ADM-1488,Nancy Kioko,Grade 8 A,Term 2,2026,7700,Bank Transfer,RTN-86359,Charity Kioko,2026-06-02,Monica Wanjiru
BP-2026-2652,ADM-1488,Nancy Kioko,Grade 8 A,Term 2,2026,1900,Cheque,CHQ-57464,Charity Kioko,2026-06-05,Monica Wanjiru
BP-2026-2653,ADM-1488,Nancy Kioko,Grade 8 A,Term 2,2026,5400,Bank Transfer,RTN-90303,Charity Kioko,2026-07-03,Andreah Smithh
BP-2026-2654,ADM-1489,Winnie Kigen,Grade 8 A,Term 1,2026,8500,M-PESA,QWH-28896,Kevin Kigen,2026-01-17,Rebecca Wanjala
BP-2026-2655,ADM-1489,Winnie Kigen,Grade 8 A,Term 1,2026,21500,Bank Transfer,RTN-20040,Kevin Kigen,2026-02-06,Andreah Smithh
BP-2026-2656,ADM-1489,Winnie Kigen,Grade 8 A,Term 2,2026,5900,Cash,CSH-57279,Kevin Kigen,2026-05-26,Rebecca Wanjala
BP-2026-2657,ADM-1489,Winnie Kigen,Grade 8 A,Term 2,2026,4500,Bank Transfer,RTN-43992,Kevin Kigen,2026-06-10,Monica Wanjiru
BP-2026-2658,ADM-1489,Winnie Kigen,Grade 8 A,Term 2,2026,4600,Cheque,CHQ-67776,Kevin Kigen,2026-07-02,Monica Wanjiru
BP-2026-2659,ADM-1489,Winnie Kigen,Grade 8 A,Term 3,2026,3600,M-PESA,QWH-30248,Kevin Kigen,2026-10-03,Rebecca Wanjala
BP-2026-2660,ADM-1490,Andrew Kiptum,Grade 8 A,Term 1,2026,8600,Bank Transfer,RTN-93652,Moses Kiptum,2026-01-19,Rebecca Wanjala
BP-2026-2661,ADM-1490,Andrew Kiptum,Grade 8 A,Term 1,2026,8600,M-PESA,QWH-31944,Moses Kiptum,2026-01-25,Andreah Smithh
BP-2026-2662,ADM-1490,Andrew Kiptum,Grade 8 A,Term 1,2026,12800,M-PESA,QWH-67909,Moses Kiptum,2026-02-23,Rebecca Wanjala
BP-2026-2663,ADM-1490,Andrew Kiptum,Grade 8 A,Term 2,2026,5200,Bank Transfer,RTN-13739,Moses Kiptum,2026-05-24,Monica Wanjiru
BP-2026-2664,ADM-1490,Andrew Kiptum,Grade 8 A,Term 2,2026,9800,Cheque,CHQ-48803,Moses Kiptum,2026-06-12,Andreah Smithh
BP-2026-2665,ADM-1490,Andrew Kiptum,Grade 8 A,Term 3,2026,9000,M-PESA,QWH-34072,Moses Kiptum,2026-09-26,Monica Wanjiru
BP-2026-2666,ADM-1491,Damaris Njeri,Grade 8 A,Term 1,2026,11900,Cash,CSH-24530,Winnie Njeri,2026-01-08,Rebecca Wanjala
BP-2026-2667,ADM-1491,Damaris Njeri,Grade 8 A,Term 1,2026,9000,M-PESA,QWH-41186,Winnie Njeri,2026-02-10,Rebecca Wanjala
BP-2026-2668,ADM-1491,Damaris Njeri,Grade 8 A,Term 1,2026,3100,Bank Transfer,RTN-64473,Winnie Njeri,2026-02-14,Monica Wanjiru
BP-2026-2669,ADM-1491,Damaris Njeri,Grade 8 A,Term 1,2026,8000,Bank Transfer,RTN-42186,Winnie Njeri,2026-03-11,Rebecca Wanjala
BP-2026-2670,ADM-1491,Damaris Njeri,Grade 8 A,Term 2,2026,5100,M-PESA,QWH-29390,Winnie Njeri,2026-05-12,Andreah Smithh
BP-2026-2671,ADM-1491,Damaris Njeri,Grade 8 A,Term 2,2026,3000,M-PESA,QWH-46586,Winnie Njeri,2026-06-10,Monica Wanjiru
BP-2026-2672,ADM-1491,Damaris Njeri,Grade 8 A,Term 2,2026,4900,M-PESA,QWH-52025,Winnie Njeri,2026-06-30,Rebecca Wanjala
BP-2026-2673,ADM-1492,Benjamin Ruto,Grade 8 A,Term 1,2026,7000,Cash,CSH-52486,Simon Ruto,2026-01-07,Rebecca Wanjala
BP-2026-2674,ADM-1492,Benjamin Ruto,Grade 8 A,Term 1,2026,11300,M-PESA,QWH-67392,Simon Ruto,2026-01-27,Andreah Smithh
BP-2026-2675,ADM-1492,Benjamin Ruto,Grade 8 A,Term 2,2026,6300,M-PESA,QWH-71427,Simon Ruto,2026-05-09,Rebecca Wanjala
BP-2026-2676,ADM-1492,Benjamin Ruto,Grade 8 A,Term 2,2026,8700,Cash,CSH-38770,Simon Ruto,2026-05-28,Monica Wanjiru
BP-2026-2677,ADM-1492,Benjamin Ruto,Grade 8 A,Term 3,2026,3600,Bank Transfer,RTN-34641,Simon Ruto,2026-09-26,Andreah Smithh
BP-2026-2678,ADM-1493,Michael Nasimiyu,Grade 8 A,Term 1,2026,30000,Cheque,CHQ-75206,Francis Nasimiyu,2026-01-12,Andreah Smithh
BP-2026-2679,ADM-1493,Michael Nasimiyu,Grade 8 A,Term 2,2026,15000,Bank Transfer,RTN-94487,Francis Nasimiyu,2026-05-19,Monica Wanjiru
BP-2026-2680,ADM-1494,Moses Mwirigi,Grade 8 A,Term 1,2026,15400,Bank Transfer,RTN-69588,Judith Mwirigi,2026-01-29,Rebecca Wanjala
BP-2026-2681,ADM-1494,Moses Mwirigi,Grade 8 A,Term 1,2026,14600,M-PESA,QWH-14830,Judith Mwirigi,2026-02-08,Andreah Smithh
BP-2026-2682,ADM-1494,Moses Mwirigi,Grade 8 A,Term 2,2026,15000,Cash,CSH-11049,Judith Mwirigi,2026-05-19,Andreah Smithh
